title,author,avg_rating,rating_count,num_pages,genres,pub_year,url,log_rating_count,log_num_pages,log_pub_age,genres_txt
Harry Potter and the Sorcerer’s Stone,J.K. Rowling,4.47,10913786,333.0,"Fantasy, Fiction, Young Adult",1997.0,https://www.goodreads.com/book/show/42844155-harry-potter-and-the-sorcerer-s-stone,16.20553741032017,5.811140992976701,3.367295829986474,Fantasy  Fiction  Young Adult
The Hunger Games,Suzanne Collins,4.34,9426102,374.0,"Young Adult, Dystopia, Fiction",2008.0,https://www.goodreads.com/book/show/2767052-the-hunger-games,16.058993313628687,5.926926025970411,2.8903717578961645,Young Adult  Dystopia  Fiction
Twilight,Stephenie Meyer,3.67,7045296,498.0,"Fantasy, Young Adult, Romance",2005.0,https://www.goodreads.com/book/show/41865.Twilight,15.767870859984864,6.212606095751519,3.044522437723423,Fantasy  Young Adult  Romance
To Kill a Mockingbird,Harper Lee,4.26,6598464,323.0,"Historical Fiction, School, Literature",1960.0,https://www.goodreads.com/book/show/2657.To_Kill_a_Mockingbird,15.702347604189143,5.780743515792329,4.189654742026425,Historical Fiction  School  Literature
The Great Gatsby,F. Scott Fitzgerald,3.93,5645767,180.0,"Classics, Fiction, School",1925.0,https://www.goodreads.com/book/show/4671.The_Great_Gatsby,15.546416795913409,5.198497031265826,4.61512051684126,Classics  Fiction  School
The Fault in Our Stars,John Green,4.13,5513884,313.0,"Young Adult, Fiction, Contemporary",2012.0,https://www.goodreads.com/book/show/11870085-the-fault-in-our-stars,15.522780014345487,5.749392985908253,2.6390573296152584,Young Adult  Fiction  Contemporary
1984,George Orwell,4.2,5120386,368.0,"Classics, Fiction, Science Fiction",1949.0,https://www.goodreads.com/book/show/61439040-1984,15.448740580096718,5.910796644040527,4.343805421853684,Classics  Fiction  Science Fiction
Harry Potter and the Prisoner of Azkaban,J.K. Rowling,4.58,4604576,435.0,"Fantasy, Fiction, Young Adult",1999.0,https://www.goodreads.com/book/show/5.Harry_Potter_and_the_Prisoner_of_Azkaban,15.342561366774937,6.077642243349034,3.295836866004329,Fantasy  Fiction  Young Adult
Pride and Prejudice,Jane Austen,4.29,4552573,279.0,"Classics, Romance, Fiction",1813.0,https://www.goodreads.com/book/show/1885.Pride_and_Prejudice,15.331203345256844,5.634789603169249,5.3612921657094255,Classics  Romance  Fiction
"The Hobbit, or There and Back Again",J.R.R. Tolkien,4.29,4297378,366.0,"Fiction, Classics, Adventure",1937.0,https://www.goodreads.com/book/show/5907.The_Hobbit_or_There_and_Back_Again,15.273515859938161,5.905361848054571,4.48863636973214,Fiction  Classics  Adventure
It Ends with Us,Colleen Hoover,4.11,4291784,386.0,"Romance, Fiction, Contemporary",2016.0,https://www.goodreads.com/book/show/27362503-it-ends-with-us,15.272213288281375,5.958424693029782,2.302585092994046,Romance  Fiction  Contemporary
Harry Potter and the Chamber of Secrets,J.K. Rowling,4.43,4287803,352.0,"Fantasy, Fiction, Young Adult",1998.0,https://www.goodreads.com/book/show/15881.Harry_Potter_and_the_Chamber_of_Secrets,15.271285271732864,5.8664680569332965,3.332204510175204,Fantasy  Fiction  Young Adult
Animal Farm,George Orwell,4.0,4271759,141.0,"Classics, Fiction, Dystopia",1945.0,https://www.goodreads.com/book/show/170448.Animal_Farm,15.267536478268743,4.955827057601261,4.394449154672439,Classics  Fiction  Dystopia
Divergent,Veronica Roth,4.14,4240981,487.0,"Young Adult, Dystopia, Fantasy",2011.0,https://www.goodreads.com/book/show/13335037-divergent,15.260305404165711,6.1903154058531475,2.70805020110221,Young Adult  Dystopia  Fantasy
The Diary of a Young Girl,Anne Frank,4.2,4018404,283.0,"Nonfiction, Biography, Memoir",1947.0,https://www.goodreads.com/book/show/48855.The_Diary_of_a_Young_Girl,15.206395615693527,5.648974238161206,4.3694478524670215,Nonfiction  Biography  Memoir
Harry Potter and the Goblet of Fire,J.K. Rowling,4.57,4014085,752.0,"Fantasy, Fiction, Young Adult",2000.0,https://www.goodreads.com/book/show/58613424-harry-potter-and-the-goblet-of-fire,15.205320233121364,6.6240652277998935,3.258096538021482,Fantasy  Fiction  Young Adult
Harry Potter and the Deathly Hallows,J.K. Rowling,4.62,3965280,759.0,"Young Adult, Fiction, Magic",2007.0,https://www.goodreads.com/book/show/136251.Harry_Potter_and_the_Deathly_Hallows,15.19308728065341,6.633318433280377,2.9444389791664403,Young Adult  Fiction  Magic
Catching Fire,Suzanne Collins,4.34,3919818,391.0,"Young Adult, Fiction, Fantasy",2009.0,https://www.goodreads.com/book/show/6148028-catching-fire,15.18155603723123,5.971261839790462,2.833213344056216,Young Adult  Fiction  Fantasy
The Catcher in the Rye,J.D. Salinger,3.8,3757567,277.0,"Classics, Fiction, Young Adult",1951.0,https://www.goodreads.com/book/show/5107.The_Catcher_in_the_Rye,15.13928249758457,5.627621113690637,4.31748811353631,Classics  Fiction  Young Adult
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,4.4,3706529,389.0,"Fiction, Romance, Historical Fiction",2017.0,https://www.goodreads.com/book/show/33160963-the-seven-husbands-of-evelyn-hugo,15.125606686935269,5.966146739123692,2.1972245773362196,Fiction  Romance  Historical Fiction
A Court of Thorns and Roses,Sarah J. Maas,4.17,3704240,419.0,"Fantasy, Young Adult, Fiction",2015.0,https://www.goodreads.com/book/show/50659467-a-court-of-thorns-and-roses,15.124988937426401,6.040254711277414,2.3978952727983707,Fantasy  Young Adult  Fiction
Harry Potter and the Order of the Phoenix,J.K. Rowling,4.5,3643584,912.0,"Fantasy, Young Adult, Fiction",2003.0,https://www.goodreads.com/book/show/2.Harry_Potter_and_the_Order_of_the_Phoenix,15.108478645036765,6.816735880594968,3.1354942159291497,Fantasy  Young Adult  Fiction
Harry Potter and the Half-Blood Prince,J.K. Rowling,4.58,3520213,672.0,"Fantasy, Fiction, Young Adult",2005.0,https://www.goodreads.com/book/show/58613345-harry-potter-and-the-half-blood-prince,15.074032341180857,6.511745329644728,3.044522437723423,Fantasy  Fiction  Young Adult
Mockingjay,Suzanne Collins,4.11,3513060,390.0,"Young Adult, Dystopia, Fiction",2010.0,https://www.goodreads.com/book/show/7260188-mockingjay,15.071998295173499,5.968707559985366,2.772588722239781,Young Adult  Dystopia  Fiction
Verity,Colleen Hoover,4.3,3426547,336.0,"Thriller, Romance, Mystery",2018.0,https://www.goodreads.com/book/show/59344312-verity,15.047063898373345,5.820082930352362,2.0794415416798357,Thriller  Romance  Mystery
Where the Crawdads Sing,Delia Owens,4.38,3411969,384.0,"Fiction, Book Club, Historical Fiction",2018.0,https://www.goodreads.com/book/show/36809135-where-the-crawdads-sing,15.042800395057984,5.953243334287785,2.0794415416798357,Fiction  Book Club  Historical Fiction
The Alchemist,Paulo Coelho,3.92,3369625,197.0,"Fiction, Fantasy, Philosophy",1988.0,https://www.goodreads.com/book/show/865.The_Alchemist,15.030312316941407,5.288267030694535,3.6375861597263857,Fiction  Fantasy  Philosophy
The Kite Runner,Khaled Hosseini,4.35,3358054,371.0,"Fiction, Historical Fiction, Classics",2003.0,https://www.goodreads.com/book/show/77203.The_Kite_Runner,15.026872495282396,5.918893854273146,3.1354942159291497,Fiction  Historical Fiction  Classics
The Girl With the Dragon Tattoo,Stieg Larsson,4.17,3347800,480.0,"Fiction, Mystery, Thriller",2005.0,https://www.goodreads.com/book/show/2429135.The_Girl_With_the_Dragon_Tattoo,15.023814270354238,6.175867270105761,3.044522437723423,Fiction  Mystery  Thriller
Angels & Demons,Dan Brown,3.95,3321875,736.0,"Fiction, Mystery, Thriller",2000.0,https://www.goodreads.com/book/show/960.Angels_Demons,15.016040241547211,6.602587892189336,3.258096538021482,Fiction  Mystery  Thriller
Gone Girl,Gillian Flynn,4.14,3316438,415.0,"Fiction, Mystery, Thriller",2012.0,https://www.goodreads.com/book/show/19288043-gone-girl,15.014402174894531,6.030685260261263,2.6390573296152584,Fiction  Mystery  Thriller
The Lightning Thief,Rick Riordan,4.31,3289320,377.0,"Fantasy, Young Adult, Mythology",2005.0,https://www.goodreads.com/book/show/28187.The_Lightning_Thief,15.006191718462933,5.934894195619588,3.044522437723423,Fantasy  Young Adult  Mythology
The Girl on the Train,Paula Hawkins,3.96,3163462,336.0,"Fiction, Mystery, Thriller",2015.0,https://www.goodreads.com/book/show/22557272-the-girl-on-the-train,14.967177871594245,5.820082930352362,2.3978952727983707,Fiction  Mystery  Thriller
Lord of the Flies,William Golding,3.7,3083170,182.0,"Fiction, Classics, Young Adult",1954.0,https://www.goodreads.com/book/show/7624.Lord_of_the_Flies,14.941469170785862,5.209486152841421,4.276666119016055,Fiction  Classics  Young Adult
"The Lion, the Witch and the Wardrobe",C.S. Lewis,4.24,3012864,206.0,"Fantasy, Fiction, Young Adult",1950.0,https://www.goodreads.com/book/show/100915.The_Lion_the_Witch_and_the_Wardrobe,14.918402011267272,5.332718793265369,4.330733340286331,Fantasy  Fiction  Young Adult
The Fellowship of the Ring,J.R.R. Tolkien,4.4,3007024,432.0,"Fantasy, Classics, Fiction",1954.0,https://www.goodreads.com/book/show/61215351-the-fellowship-of-the-ring,14.916461775870259,6.07073772800249,4.276666119016055,Fantasy  Classics  Fiction
The Help,Kathryn Stockett,4.46,2934223,464.0,"Fiction, Historical Fiction, Book Club",2009.0,https://www.goodreads.com/book/show/4667024-the-help,14.89195358105577,6.142037405587356,2.833213344056216,Fiction  Historical Fiction  Book Club
Fourth Wing,Rebecca Yarros,4.58,2922581,528.0,"Romantasy, Dragons, Fiction",2023.0,https://www.goodreads.com/book/show/61431922-fourth-wing,14.887978030104113,6.270988431858299,1.0986122886681098,Romantasy  Dragons  Fiction
The Silent Patient,Alex Michaelides,4.17,2875944,336.0,"Thriller, Mystery, Fiction",2019.0,https://www.goodreads.com/book/show/40097951-the-silent-patient,14.87189187385718,5.820082930352362,1.9459101490553132,Thriller  Mystery  Fiction
A Court of Mist and Fury,Sarah J. Maas,4.64,2821734,626.0,"Fantasy, Romance, Romantasy",2016.0,https://www.goodreads.com/book/show/50659468-a-court-of-mist-and-fury,14.85286250195365,6.440946540632921,2.302585092994046,Fantasy  Romance  Romantasy
Fifty Shades of Grey,E.L. James,3.67,2786203,356.0,"Fiction, BDSM, Adult",2011.0,https://www.goodreads.com/book/show/10818853-fifty-shades-of-grey,14.840190653900349,5.877735781779639,2.70805020110221,Fiction  BDSM  Adult
The Book Thief,Markus Zusak,4.39,2766271,592.0,"Historical Fiction, Fiction, Young Adult",2005.0,https://www.goodreads.com/book/show/19063.The_Book_Thief,14.833011123320743,6.385194398997726,3.044522437723423,Historical Fiction  Fiction  Young Adult
Romeo and Juliet,William Shakespeare,3.74,2739862,281.0,"Classics, Plays, Fiction",1597.0,https://www.goodreads.com/book/show/18135.Romeo_and_Juliet,14.823418477114211,5.641907070938114,6.061456918928017,Classics  Plays  Fiction
Of Mice and Men,John Steinbeck,3.89,2717476,107.0,"Fiction, School, Historical Fiction",1937.0,https://www.goodreads.com/book/show/890.Of_Mice_and_Men,14.81521443428023,4.68213122712422,4.48863636973214,Fiction  School  Historical Fiction
The Giver,Lois Lowry,4.12,2696105,208.0,"Young Adult, Fiction, Classics",1993.0,https://www.goodreads.com/book/show/3636.The_Giver,14.80731906774884,5.342334251964811,3.4965075614664802,Young Adult  Fiction  Classics
Fahrenheit 451,Ray Bradbury,3.97,2662789,194.0,"Classics, Fiction, Science Fiction",1953.0,https://www.goodreads.com/book/show/13079982-fahrenheit-451,14.794885003256239,5.272999558563747,4.290459441148391,Classics  Fiction  Science Fiction
A Game of Thrones,George R.R. Martin,4.45,2645662,835.0,"Fantasy, Fiction, Epic Fantasy",1996.0,https://www.goodreads.com/book/show/13496.A_Game_of_Thrones,14.78843225348987,6.728628613084702,3.4011973816621555,Fantasy  Fiction  Epic Fantasy
The da Vinci Code,Dan Brown,3.93,2455602,489.0,"Fiction, Mystery, Thriller",2003.0,https://www.goodreads.com/book/show/968.The_da_Vinci_Code,14.713882910232076,6.194405391104672,3.1354942159291497,Fiction  Mystery  Thriller
The Lovely Bones,Alice Sebold,3.86,2428056,372.0,"Fiction, Mystery, Young Adult",2002.0,https://www.goodreads.com/book/show/12232938-the-lovely-bones,14.702601906997993,5.921578419643816,3.1780538303479458,Fiction  Mystery  Young Adult
A Court of Wings and Ruin,Sarah J. Maas,4.47,2367473,705.0,"Fantasy, Romance, Romantasy",2017.0,https://www.goodreads.com/book/show/23766634-a-court-of-wings-and-ruin,14.677334121933493,6.559615237493242,2.1972245773362196,Fantasy  Romance  Romantasy
Little Women,Louisa May Alcott,4.16,2362357,449.0,"Classics, Fiction, Historical Fiction",1868.0,https://www.goodreads.com/book/show/1934.Little_Women,14.675170830723502,6.1092475827643655,5.062595033026967,Classics  Fiction  Historical Fiction
The Little Prince,Antoine de Saint-Exupéry,4.33,2327881,96.0,"Classics, Fiction, Fantasy",1943.0,https://www.goodreads.com/book/show/157993.The_Little_Prince,14.660469399263599,4.574710978503383,4.418840607796598,Classics  Fiction  Fantasy
The Handmaid’s Tale,Margaret Atwood,4.15,2265197,311.0,"Fiction, Classics, Dystopia",1985.0,https://www.goodreads.com/book/show/38447.The_Handmaid_s_Tale,14.633172730297153,5.7430031878094825,3.713572066704308,Fiction  Classics  Dystopia
Jane Eyre,Charlotte Brontë,4.15,2231816,532.0,"Classics, Fiction, Romance",1847.0,https://www.goodreads.com/book/show/10210.Jane_Eyre,14.618326609874725,6.278521424165844,5.187385805840755,Classics  Fiction  Romance
The Midnight Library,Matt Haig,3.98,2198164,288.0,"Fiction, Fantasy, Book Club",2020.0,https://www.goodreads.com/book/show/52578297-the-midnight-library,14.603133479372081,5.666426688112432,1.791759469228055,Fiction  Fantasy  Book Club
Ugly Love,Colleen Hoover,4.01,2166940,330.0,"Romance, Contemporary, New Adult",2014.0,https://www.goodreads.com/book/show/17788401-ugly-love,14.58882705356732,5.802118375377063,2.4849066497880004,Romance  Contemporary  New Adult
Iron Flame,Rebecca Yarros,4.37,2112745,623.0,"Romantasy, Dragons, Audiobook",2023.0,https://www.goodreads.com/book/show/90202302-iron-flame,14.563499081137868,6.436150368369428,1.0986122886681098,Romantasy  Dragons  Audiobook
City of Bones,Cassandra Clare,4.07,2109526,485.0,"Fantasy, Young Adult, Romance",2007.0,https://www.goodreads.com/book/show/256683.City_of_Bones,14.561974309706148,6.186208623900494,2.9444389791664403,Fantasy  Young Adult  Romance
Throne of Glass,Sarah J. Maas,4.18,2081381,406.0,"Young Adult, Romance, Fiction",2012.0,https://www.goodreads.com/book/show/76703559-throne-of-glass,14.548542654123134,6.008813185442595,2.6390573296152584,Young Adult  Romance  Fiction
Memoirs of a Geisha,Arthur Golden,4.16,2069105,503.0,"Fiction, Historical Fiction, Romance",1997.0,https://www.goodreads.com/book/show/929.Memoirs_of_a_Geisha,14.5426271878948,6.222576268071369,3.367295829986474,Fiction  Historical Fiction  Romance
New Moon,Stephenie Meyer,3.61,2054696,563.0,"Fantasy, Young Adult, Romance",2006.0,https://www.goodreads.com/book/show/49041.New_Moon,14.535638949785877,6.335054251498059,2.995732273553991,Fantasy  Young Adult  Romance
Brave New World,Aldous Huxley,3.99,1986120,268.0,"Fiction, Science Fiction, Dystopia",1932.0,https://www.goodreads.com/book/show/5129.Brave_New_World,14.50169404821671,5.594711379601839,4.543294782270004,Fiction  Science Fiction  Dystopia
Charlotte’s Web,E.B. White,4.21,1969904,184.0,"Fiction, Childrens, Classics",1952.0,https://www.goodreads.com/book/show/24178.Charlotte_s_Web,14.493495876201134,5.220355825078324,4.30406509320417,Fiction  Childrens  Classics
The Hitchhiker’s Guide to the Galaxy,Douglas Adams,4.22,1949248,216.0,"Science Fiction, Fiction, Humor",1979.0,https://www.goodreads.com/book/show/11.The_Hitchhiker_s_Guide_to_the_Galaxy,14.482954728153887,5.37989735354046,3.8501476017100584,Science Fiction  Fiction  Humor
Wuthering Heights,Emily Brontë,3.9,1933980,464.0,"Fiction, Gothic, Historical Fiction",1847.0,https://www.goodreads.com/book/show/6185.Wuthering_Heights,14.475091130748567,6.142037405587356,5.187385805840755,Fiction  Gothic  Historical Fiction
Eclipse,Stephenie Meyer,3.74,1928017,629.0,"Fantasy, Young Adult, Romance",2007.0,https://www.goodreads.com/book/show/428263.Eclipse,14.472003090208633,6.4457198193855785,2.9444389791664403,Fantasy  Young Adult  Romance
The Perks of Being a Wallflower,Stephen Chbosky,4.23,1922990,213.0,"Young Adult, Fiction, Classics",1999.0,https://www.goodreads.com/book/show/22628.The_Perks_of_Being_a_Wallflower,14.469392344372757,5.365976015021851,3.295836866004329,Young Adult  Fiction  Classics
Eragon,Christopher Paolini,3.96,1883503,503.0,"Fantasy, Young Adult, Fiction",2002.0,https://www.goodreads.com/book/show/113436.Eragon,14.448644429817845,6.222576268071369,3.1780538303479458,Fantasy  Young Adult  Fiction
All the Light We Cannot See,Anthony Doerr,4.31,1870616,544.0,"Historical Fiction, Fiction, Book Club",2014.0,https://www.goodreads.com/book/show/18143977-all-the-light-we-cannot-see,14.44177888093445,6.300785794663244,2.4849066497880004,Historical Fiction  Fiction  Book Club
A Court of Frost and Starlight,Sarah J. Maas,3.73,1854880,229.0,"Fantasy, Romance, Romantasy",2019.0,https://www.goodreads.com/book/show/31076583-a-court-of-frost-and-starlight,14.433331101022517,5.438079308923196,1.9459101490553132,Fantasy  Romance  Romantasy
The Time Traveler's Wife,Audrey Niffenegger,4.0,1835541,537.0,"Fiction, Romance, Fantasy",2003.0,https://www.goodreads.com/book/show/18619684-the-time-traveler-s-wife,14.422850363705724,6.2878585601617845,3.1354942159291497,Fiction  Romance  Fantasy
Breaking Dawn,Stephenie Meyer,3.75,1813990,756.0,"Fantasy, Young Adult, Romance",2008.0,https://www.goodreads.com/book/show/1162543.Breaking_Dawn,14.411039948233665,6.6293632534374485,2.8903717578961645,Fantasy  Young Adult  Romance
"Eat, Pray, Love",Elizabeth Gilbert,3.64,1808785,368.0,"Nonfiction, Memoir, Travel",2006.0,https://www.goodreads.com/book/show/19501.Eat_Pray_Love,14.408166459977863,5.910796644040527,2.995732273553991,Nonfiction  Memoir  Travel
The Nightingale,Kristin Hannah,4.64,1799909,564.0,"Historical Fiction, Fiction, Historical",2015.0,https://www.goodreads.com/book/show/21853621-the-nightingale,14.403247221616352,6.336825731146441,2.3978952727983707,Historical Fiction  Fiction  Historical
The Song of Achilles,Madeline Miller,4.31,1798711,352.0,"Fantasy, Historical Fiction, Romance",2011.0,https://www.goodreads.com/book/show/11250317-the-song-of-achilles,14.402581411178769,5.8664680569332965,2.70805020110221,Fantasy  Historical Fiction  Romance
The Notebook,Nicholas Sparks,4.16,1792860,227.0,"Romance, Fiction, Chick Lit",1996.0,https://www.goodreads.com/book/show/33648131-the-notebook,14.399323225878861,5.429345628954441,3.4011973816621555,Romance  Fiction  Chick Lit
A Court of Silver Flames,Sarah J. Maas,4.46,1791179,757.0,"Fantasy, Romance, Romantasy",2021.0,https://www.goodreads.com/book/show/53138095-a-court-of-silver-flames,14.398385178505373,6.630683385642372,1.6094379124341003,Fantasy  Romance  Romantasy
