title,author,avg_rating,rating_count,num_pages,genres,pub_year,url
The Hunger Games,Suzanne Collins,4.34,9426102,374.0,"Young Adult, Dystopia, Fiction",2008.0,https://www.goodreads.com/book/show/2767052-the-hunger-games
Harry Potter and the Order of the Phoenix,J.K. Rowling,4.5,3643584,912.0,"Fantasy, Young Adult, Fiction",2003.0,https://www.goodreads.com/book/show/2.Harry_Potter_and_the_Order_of_the_Phoenix
Pride and Prejudice,Jane Austen,4.29,4552573,279.0,"Classics, Romance, Fiction",1813.0,https://www.goodreads.com/book/show/1885.Pride_and_Prejudice
To Kill a Mockingbird,Harper Lee,4.26,6598464,323.0,"Historical Fiction, School, Literature",1960.0,https://www.goodreads.com/book/show/2657.To_Kill_a_Mockingbird
The Book Thief,Markus Zusak,4.39,2766271,592.0,"Historical Fiction, Fiction, Young Adult",2005.0,https://www.goodreads.com/book/show/19063.The_Book_Thief
Twilight,Stephenie Meyer,3.67,7045296,498.0,"Fantasy, Young Adult, Romance",2005.0,https://www.goodreads.com/book/show/41865.Twilight
Animal Farm,George Orwell,4.0,4271759,141.0,"Classics, Fiction, Dystopia",1945.0,https://www.goodreads.com/book/show/170448.Animal_Farm
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.61,140283,1728.0,"Fantasy, Fiction, Classics",1954.0,https://www.goodreads.com/book/show/30.J_R_R_Tolkien_4_Book_Boxed_Set
The Chronicles of Narnia,C.S. Lewis,4.28,689559,767.0,"Fantasy, Classics, Fiction",1956.0,https://www.goodreads.com/book/show/11127.The_Chronicles_of_Narnia
The Fault in Our Stars,John Green,4.13,5513884,313.0,"Young Adult, Fiction, Contemporary",2012.0,https://www.goodreads.com/book/show/11870085-the-fault-in-our-stars
The Picture of Dorian Gray,Oscar Wilde,4.13,1742668,272.0,"Classics, Fiction, Horror",1890.0,https://www.goodreads.com/book/show/5297.The_Picture_of_Dorian_Gray
